epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5815,1.131,2.11547,1.20076,0.6569,0.75717,0.76208,0.54473,0.98394,1.29648,1.07372,0.000367463,0.000367463,0.000367463
2,34.4237,1.08079,1.12593,1.16424,0.83383,0.8607,0.85337,0.68992,0.74869,0.91362,1.01761,0.000730492,0.000730492,0.000730492
3,50.1476,1.03886,0.97547,1.17211,0.80221,0.88789,0.87881,0.71478,0.72028,0.82863,1.02376,0.00108619,0.00108619,0.00108619
